company_name,year,sector_exposure_path_name,Sector_EI,Compnay_EI,Sector_EM,Company_EM,Sector_IM,Company_IM,CHG_PER_STOCK_PRICE,Combined_score,sector_exposure_id,Normalized_Stock_Price_Change
Callon Petroleum Co,2019,Associated Energy Costs,93,150,66,58,44,21,-0.927417219,229,0,-0.136665729
Callon Petroleum Co,2019,Dividend/reinvestment balance for long-term growth,37,28,72,49,63,0,-0.927417219,77,0.01,-0.045953105
Callon Petroleum Co,2019,GDP and Disposable Income,78,115,62,53,47,0,-0.927417219,168,0.02,-0.100261321
Callon Petroleum Co,2019,Innovation,85,113,62,53,42,20,-0.927417219,186,0.03,-0.111003605
Callon Petroleum Co,2019,Market Transition,68,104,54,46,40,16,-0.927417219,166,0.04,-0.099067734
Callon Petroleum Co,2019,Professional Skills Development,35,43,59,45,44,18,-0.927417219,106,0.05,-0.063260119
Callon Petroleum Co,2019,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,160,89,96,57,18,-0.927417219,274,0.06,-0.16352144
Callon Petroleum Co,2019,Regulated Carbon Price,78,77,73,71,49,0,-0.927417219,148,0.07,-0.088325449
Callon Petroleum Co,2019,Wages and Benefits,48,38,100,58,100,20,-0.927417219,116,0.08,-0.069228055
Callon Petroleum Co,2019,Well-being and health,40,26,50,38,32,20,-0.927417219,84,0.09,-0.05013066
ConocoPhillips,2014,Associated Energy Costs,100,90,78,69,66,58,-0.114996446,217,0,-0.012384233
ConocoPhillips,2014,Dividend/reinvestment balance for long-term growth,32,43,68,102,77,112,-0.114996446,257,0.01,-0.014667041
ConocoPhillips,2014,GDP and Disposable Income,77,80,68,56,68,58,-0.114996446,194,0.02,-0.011071618
ConocoPhillips,2014,Innovation,85,74,71,55,65,51,-0.114996446,180,0.03,-0.010272635
ConocoPhillips,2014,Market Transition,74,57,62,45,61,51,-0.114996446,153,0.04,-0.00873174
ConocoPhillips,2014,Professional Skills Development,38,67,84,128,79,75,-0.114996446,270,0.05,-0.015408953
ConocoPhillips,2014,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",93,52,100,66,96,78,-0.114996446,196,0.06,-0.011185759
ConocoPhillips,2014,Regulated Carbon Price,67,82,79,68,79,55,-0.114996446,205,0.07,-0.01169939
ConocoPhillips,2014,Wages and Benefits,42,51,96,71,100,78,-0.114996446,200,0.08,-0.011414039
ConocoPhillips,2014,Well-being and health,29,29,52,73,43,41,-0.114996446,143,0.09,-0.008161038
ConocoPhillips,2019,Associated Energy Costs,93,89,66,72,44,41,-0.538507642,202,0,-0.052805118
ConocoPhillips,2019,Dividend/reinvestment balance for long-term growth,37,85,72,173,63,90,-0.538507642,348,0.01,-0.090971194
ConocoPhillips,2019,GDP and Disposable Income,78,72,62,63,47,44,-0.538507642,179,0.02,-0.046792654
ConocoPhillips,2019,Innovation,85,95,62,79,42,39,-0.538507642,213,0.03,-0.055680645
ConocoPhillips,2019,Market Transition,68,64,54,61,40,40,-0.538507642,165,0.04,-0.043132894
ConocoPhillips,2019,Professional Skills Development,35,58,59,88,44,29,-0.538507642,175,0.05,-0.045747008
ConocoPhillips,2019,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,77,89,83,57,57,-0.538507642,217,0.06,-0.05672629
ConocoPhillips,2019,Regulated Carbon Price,78,80,73,73,49,43,-0.538507642,196,0.07,-0.051236649
ConocoPhillips,2019,Wages and Benefits,48,61,100,161,100,56,-0.538507642,278,0.08,-0.072672391
ConocoPhillips,2019,Well-being and health,40,35,50,52,32,0,-0.538507642,87,0.09,-0.022742798
Crescent Energy Co,2017,Associated Energy Costs,97,142,72,62,79,77,-0.371057514,281,0,-0.051566351
Crescent Energy Co,2017,Dividend/reinvestment balance for long-term growth,31,28,58,48,74,80,-0.371057514,156,0.01,-0.028627583
Crescent Energy Co,2017,GDP and Disposable Income,78,120,65,54,81,73,-0.371057514,247,0.02,-0.045327006
Crescent Energy Co,2017,Innovation,87,114,66,55,76,79,-0.371057514,248,0.03,-0.045510516
Crescent Energy Co,2017,Market Transition,74,95,58,53,74,79,-0.371057514,227,0.04,-0.041656803
Crescent Energy Co,2017,Professional Skills Development,33,29,62,87,70,79,-0.371057514,195,0.05,-0.035784478
Crescent Energy Co,2017,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,103,100,93,100,85,-0.371057514,281,0.06,-0.051566351
Crescent Energy Co,2017,Regulated Carbon Price,79,32,80,52,92,71,-0.371057514,155,0.07,-0.028444073
Crescent Energy Co,2017,Wages and Benefits,42,28,85,46,87,102,-0.371057514,176,0.08,-0.032297786
Crescent Energy Co,2017,Well-being and health,25,14,40,42,51,0,-0.371057514,56,0.09,-0.010276568
Crescent Energy Co,2019,Associated Energy Costs,93,87,66,42,44,42,-0.761609907,171,0,-0.089202256
Crescent Energy Co,2019,Dividend/reinvestment balance for long-term growth,37,25,72,44,63,27,-0.761609907,96,0.01,-0.05007846
Crescent Energy Co,2019,GDP and Disposable Income,78,121,62,47,47,44,-0.761609907,212,0.02,-0.110589932
Crescent Energy Co,2019,Innovation,85,96,62,48,42,43,-0.761609907,187,0.03,-0.097548666
Crescent Energy Co,2019,Market Transition,68,69,54,46,40,38,-0.761609907,153,0.04,-0.079812545
Crescent Energy Co,2019,Professional Skills Development,35,23,59,48,44,36,-0.761609907,107,0.05,-0.055816616
Crescent Energy Co,2019,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,97,89,71,57,46,-0.761609907,214,0.06,-0.111633233
Crescent Energy Co,2019,Regulated Carbon Price,78,26,73,47,49,40,-0.761609907,113,0.07,-0.05894652
Crescent Energy Co,2019,Wages and Benefits,48,21,100,47,100,52,-0.761609907,120,0.08,-0.062598075
Crescent Energy Co,2019,Well-being and health,40,18,50,46,32,23,-0.761609907,87,0.09,-0.045383604
DEVON ENERGY CORP,2017,Associated Energy Costs,97,99,72,57,79,54,-0.23801534,210,0,-0.028808773
DEVON ENERGY CORP,2017,Dividend/reinvestment balance for long-term growth,31,28,58,50,74,0,-0.23801534,78,0.01,-0.010700401
DEVON ENERGY CORP,2017,GDP and Disposable Income,78,74,65,48,81,55,-0.23801534,177,0.02,-0.02428168
DEVON ENERGY CORP,2017,Innovation,87,81,66,53,76,54,-0.23801534,188,0.03,-0.025790711
DEVON ENERGY CORP,2017,Market Transition,74,75,58,50,74,56,-0.23801534,181,0.04,-0.024830419
DEVON ENERGY CORP,2017,Professional Skills Development,33,43,62,91,70,73,-0.23801534,207,0.05,-0.028397219
DEVON ENERGY CORP,2017,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,82,100,82,100,96,-0.23801534,260,0.06,-0.035668005
DEVON ENERGY CORP,2017,Regulated Carbon Price,79,81,80,64,92,70,-0.23801534,215,0.07,-0.029494696
DEVON ENERGY CORP,2017,Wages and Benefits,42,40,85,50,87,91,-0.23801534,181,0.08,-0.024830419
DEVON ENERGY CORP,2017,Well-being and health,25,15,40,23,51,0,-0.23801534,38,0.09,-0.005213016
DEVON ENERGY CORP,2019,Associated Energy Costs,93,132,66,69,44,37,-0.781024211,238,0,-0.119232689
DEVON ENERGY CORP,2019,Dividend/reinvestment balance for long-term growth,37,29,72,39,63,0,-0.781024211,68,0.01,-0.034066483
DEVON ENERGY CORP,2019,GDP and Disposable Income,78,73,62,45,47,27,-0.781024211,145,0.02,-0.072641764
DEVON ENERGY CORP,2019,Innovation,85,110,62,51,42,28,-0.781024211,189,0.03,-0.094684782
DEVON ENERGY CORP,2019,Market Transition,68,72,54,47,40,29,-0.781024211,148,0.04,-0.074144697
DEVON ENERGY CORP,2019,Professional Skills Development,35,41,59,75,44,37,-0.781024211,153,0.05,-0.076649586
DEVON ENERGY CORP,2019,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,86,89,81,57,49,-0.781024211,216,0.06,-0.10821118
DEVON ENERGY CORP,2019,Regulated Carbon Price,78,97,73,80,49,42,-0.781024211,219,0.07,-0.109714113
DEVON ENERGY CORP,2019,Wages and Benefits,48,46,100,47,100,46,-0.781024211,139,0.08,-0.069635898
DEVON ENERGY CORP,2019,Well-being and health,40,15,50,29,32,0,-0.781024211,44,0.09,-0.022043018
Diversified Energy,2019,Associated Energy Costs,93,42,66,52,44,56,-0.406666667,150,0,-0.048335975
Diversified Energy,2019,Dividend/reinvestment balance for long-term growth,37,19,72,47,63,28,-0.406666667,94,0.01,-0.030290544
Diversified Energy,2019,GDP and Disposable Income,78,50,62,45,47,24,-0.406666667,119,0.02,-0.03834654
Diversified Energy,2019,Innovation,85,48,62,47,42,25,-0.406666667,120,0.03,-0.03866878
Diversified Energy,2019,Market Transition,68,37,54,37,40,24,-0.406666667,98,0.04,-0.031579503
Diversified Energy,2019,Professional Skills Development,35,15,59,38,44,90,-0.406666667,143,0.05,-0.046080296
Diversified Energy,2019,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,44,89,63,57,49,-0.406666667,156,0.06,-0.050269414
Diversified Energy,2019,Regulated Carbon Price,78,43,73,46,49,0,-0.406666667,89,0.07,-0.028679345
Diversified Energy,2019,Wages and Benefits,48,21,100,42,100,60,-0.406666667,123,0.08,-0.039635499
Diversified Energy,2019,Well-being and health,40,53,50,64,32,53,-0.406666667,170,0.09,-0.054780771
Enerplus Resources (USA) Corporation,2014,Associated Energy Costs,100,182,78,82,66,74,-0.493759361,338,0,-0.07303749
Enerplus Resources (USA) Corporation,2014,Dividend/reinvestment balance for long-term growth,32,25,68,51,77,41,-0.493759361,117,0.01,-0.025282208
Enerplus Resources (USA) Corporation,2014,GDP and Disposable Income,77,139,68,86,68,78,-0.493759361,303,0.02,-0.065474436
Enerplus Resources (USA) Corporation,2014,Innovation,85,137,71,78,65,77,-0.493759361,292,0.03,-0.063097476
Enerplus Resources (USA) Corporation,2014,Market Transition,74,141,62,72,61,75,-0.493759361,288,0.04,-0.062233127
Enerplus Resources (USA) Corporation,2014,Professional Skills Development,38,27,84,54,79,38,-0.493759361,119,0.05,-0.025714382
Enerplus Resources (USA) Corporation,2014,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",93,128,100,100,96,93,-0.493759361,321,0.06,-0.069364007
Enerplus Resources (USA) Corporation,2014,Regulated Carbon Price,67,56,79,72,79,64,-0.493759361,192,0.07,-0.041488752
Enerplus Resources (USA) Corporation,2014,Wages and Benefits,42,30,96,52,100,71,-0.493759361,153,0.08,-0.033061349
Enerplus Resources (USA) Corporation,2014,Well-being and health,29,41,52,71,43,50,-0.493759361,162,0.09,-0.035006134
Enerplus Resources (USA) Corporation,2019,Associated Energy Costs,93,184,66,96,44,49,-0.824019025,329,0,-0.125336227
Enerplus Resources (USA) Corporation,2019,Dividend/reinvestment balance for long-term growth,37,26,72,39,63,0,-0.824019025,65,0.01,-0.024762476
Enerplus Resources (USA) Corporation,2019,GDP and Disposable Income,78,112,62,80,47,52,-0.824019025,244,0.02,-0.092954527
Enerplus Resources (USA) Corporation,2019,Innovation,85,141,62,80,42,53,-0.824019025,274,0.03,-0.104383362
Enerplus Resources (USA) Corporation,2019,Market Transition,68,151,54,86,40,52,-0.824019025,289,0.04,-0.11009778
Enerplus Resources (USA) Corporation,2019,Professional Skills Development,35,47,59,70,44,43,-0.824019025,160,0.05,-0.060953788
Enerplus Resources (USA) Corporation,2019,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,175,89,121,57,58,-0.824019025,354,0.06,-0.134860257
Enerplus Resources (USA) Corporation,2019,Regulated Carbon Price,78,77,73,66,49,50,-0.824019025,193,0.07,-0.073525507
Enerplus Resources (USA) Corporation,2019,Wages and Benefits,48,48,100,60,100,52,-0.824019025,160,0.08,-0.060953788
Enerplus Resources (USA) Corporation,2019,Well-being and health,40,33,50,42,32,20,-0.824019025,95,0.09,-0.036191312
"EOG Resources, Inc.",2013,Associated Energy Costs,100,135,79,82,72,72,-0.234200158,289,0,-0.030962418
"EOG Resources, Inc.",2013,Dividend/reinvestment balance for long-term growth,36,22,75,57,78,47,-0.234200158,126,0.01,-0.013499186
"EOG Resources, Inc.",2013,GDP and Disposable Income,75,128,66,78,73,70,-0.234200158,276,0.02,-0.029569645
"EOG Resources, Inc.",2013,Innovation,83,126,69,75,68,66,-0.234200158,267,0.03,-0.028605417
"EOG Resources, Inc.",2013,Market Transition,71,75,60,58,67,65,-0.234200158,198,0.04,-0.021213006
"EOG Resources, Inc.",2013,Professional Skills Development,36,38,77,66,79,64,-0.234200158,168,0.05,-0.017998914
"EOG Resources, Inc.",2013,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",91,136,100,109,100,89,-0.234200158,334,0.06,-0.035783556
"EOG Resources, Inc.",2013,Regulated Carbon Price,70,67,79,81,80,83,-0.234200158,231,0.07,-0.024748507
"EOG Resources, Inc.",2013,Wages and Benefits,42,35,94,113,80,99,-0.234200158,247,0.08,-0.026462689
"EOG Resources, Inc.",2013,Well-being and health,28,15,50,35,56,0,-0.234200158,50,0.09,-0.00535682
"EOG Resources, Inc.",2019,Associated Energy Costs,93,108,66,63,44,41,-0.622907396,212,0,-0.072959319
"EOG Resources, Inc.",2019,Dividend/reinvestment balance for long-term growth,37,24,72,56,63,52,-0.622907396,132,0.01,-0.045427501
"EOG Resources, Inc.",2019,GDP and Disposable Income,78,114,62,74,47,44,-0.622907396,232,0.02,-0.079842274
"EOG Resources, Inc.",2019,Innovation,85,104,62,63,42,42,-0.622907396,209,0.03,-0.071926876
"EOG Resources, Inc.",2019,Market Transition,68,71,54,50,40,40,-0.622907396,161,0.04,-0.055407785
"EOG Resources, Inc.",2019,Professional Skills Development,35,33,59,52,44,40,-0.622907396,125,0.05,-0.043018467
"EOG Resources, Inc.",2019,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,104,89,95,57,60,-0.622907396,259,0.06,-0.089134263
"EOG Resources, Inc.",2019,Regulated Carbon Price,78,57,73,65,49,51,-0.622907396,173,0.07,-0.059537558
"EOG Resources, Inc.",2019,Wages and Benefits,48,31,100,103,100,76,-0.622907396,210,0.08,-0.072271024
"EOG Resources, Inc.",2019,Well-being and health,40,26,50,45,32,26,-0.622907396,97,0.09,-0.03338233
EQT Corp,2014,Associated Energy Costs,100,62,78,64,66,54,-0.145509663,180,0,-0.015452354
EQT Corp,2014,Dividend/reinvestment balance for long-term growth,32,23,68,64,77,0,-0.145509663,87,0.01,-0.007468638
EQT Corp,2014,GDP and Disposable Income,77,58,68,73,68,67,-0.145509663,198,0.02,-0.016997589
EQT Corp,2014,Innovation,85,65,71,75,65,57,-0.145509663,197,0.03,-0.016911743
EQT Corp,2014,Market Transition,74,50,62,60,61,56,-0.145509663,166,0.04,-0.014250504
EQT Corp,2014,Professional Skills Development,38,14,84,43,79,41,-0.145509663,98,0.05,-0.008412948
EQT Corp,2014,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",93,51,100,76,96,98,-0.145509663,225,0.06,-0.019315442
EQT Corp,2014,Regulated Carbon Price,67,71,79,86,79,74,-0.145509663,231,0.07,-0.01983052
EQT Corp,2014,Wages and Benefits,42,36,96,74,100,88,-0.145509663,198,0.08,-0.016997589
EQT Corp,2014,Well-being and health,29,40,52,44,43,31,-0.145509663,115,0.09,-0.009872337
EQT Corp,2016,Associated Energy Costs,97,64,74,69,77,57,-0.091256831,190,0,-0.011208014
EQT Corp,2016,Dividend/reinvestment balance for long-term growth,30,21,54,50,66,0,-0.091256831,71,0.01,-0.004188258
EQT Corp,2016,GDP and Disposable Income,77,56,65,63,76,61,-0.091256831,180,0.02,-0.010618119
EQT Corp,2016,Innovation,85,55,66,66,80,51,-0.091256831,172,0.03,-0.010146202
EQT Corp,2016,Market Transition,72,47,58,51,70,51,-0.091256831,149,0.04,-0.008789443
EQT Corp,2016,Professional Skills Development,32,13,60,30,70,31,-0.091256831,74,0.05,-0.004365227
EQT Corp,2016,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,55,100,70,100,91,-0.091256831,216,0.06,-0.012741742
EQT Corp,2016,Regulated Carbon Price,70,80,74,74,83,70,-0.091256831,224,0.07,-0.013213659
EQT Corp,2016,Wages and Benefits,41,25,77,65,87,85,-0.091256831,175,0.08,-0.010323171
EQT Corp,2016,Well-being and health,29,27,50,34,52,35,-0.091256831,96,0.09,-0.005662997
EQT Corp,2017,Associated Energy Costs,97,77,72,69,79,55,-0.222489477,201,0,-0.026136987
EQT Corp,2017,Dividend/reinvestment balance for long-term growth,31,21,58,58,74,0,-0.222489477,79,0.01,-0.010272746
EQT Corp,2017,GDP and Disposable Income,78,68,65,63,81,64,-0.222489477,195,0.02,-0.025356779
EQT Corp,2017,Innovation,87,69,66,69,76,55,-0.222489477,193,0.03,-0.025096709
EQT Corp,2017,Market Transition,74,59,58,54,74,53,-0.222489477,166,0.04,-0.02158577
EQT Corp,2017,Professional Skills Development,33,16,62,33,70,36,-0.222489477,85,0.05,-0.011052955
EQT Corp,2017,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,61,100,71,100,107,-0.222489477,239,0.06,-0.031078308
EQT Corp,2017,Regulated Carbon Price,79,96,80,81,92,75,-0.222489477,252,0.07,-0.03276876
EQT Corp,2017,Wages and Benefits,42,36,85,79,87,53,-0.222489477,168,0.08,-0.02184584
EQT Corp,2017,Well-being and health,25,49,40,42,51,42,-0.222489477,133,0.09,-0.017294623
EQT Corp,2019,Associated Energy Costs,93,74,66,64,44,32,-0.662487946,170,0,-0.066759307
EQT Corp,2019,Dividend/reinvestment balance for long-term growth,37,39,72,90,63,54,-0.662487946,183,0.01,-0.07186443
EQT Corp,2019,GDP and Disposable Income,78,53,62,49,47,29,-0.662487946,131,0.02,-0.051443937
EQT Corp,2019,Innovation,85,62,62,67,42,34,-0.662487946,163,0.03,-0.064010394
EQT Corp,2019,Market Transition,68,46,54,49,40,28,-0.662487946,123,0.04,-0.048302322
EQT Corp,2019,Professional Skills Development,35,23,59,47,44,31,-0.662487946,101,0.05,-0.039662882
EQT Corp,2019,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,71,89,79,57,59,-0.662487946,209,0.06,-0.082074677
EQT Corp,2019,Regulated Carbon Price,78,94,73,92,49,41,-0.662487946,227,0.07,-0.08914331
EQT Corp,2019,Wages and Benefits,48,46,100,111,100,57,-0.662487946,214,0.08,-0.084038186
EQT Corp,2019,Well-being and health,40,72,50,63,32,31,-0.662487946,166,0.09,-0.0651885
Hess,2014,Associated Energy Costs,100,79,78,62,66,57,-0.181105212,198,0,-0.019013166
Hess,2014,Dividend/reinvestment balance for long-term growth,32,27,68,57,77,60,-0.181105212,144,0.01,-0.013827757
Hess,2014,GDP and Disposable Income,77,65,68,58,68,69,-0.181105212,192,0.02,-0.01843701
Hess,2014,Innovation,85,62,71,50,65,43,-0.181105212,155,0.03,-0.014884044
Hess,2014,Market Transition,74,65,62,50,61,45,-0.181105212,160,0.04,-0.015364175
Hess,2014,Professional Skills Development,38,26,84,59,79,45,-0.181105212,130,0.05,-0.012483392
Hess,2014,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",93,48,100,65,96,76,-0.181105212,189,0.06,-0.018148932
Hess,2014,Regulated Carbon Price,67,104,79,140,79,117,-0.181105212,361,0.07,-0.03466542
Hess,2014,Wages and Benefits,42,43,96,82,100,102,-0.181105212,227,0.08,-0.021797923
Hess,2014,Well-being and health,29,31,52,57,43,42,-0.181105212,130,0.09,-0.012483392
Hess,2016,Associated Energy Costs,97,78,74,64,77,64,-0.084330484,206,0,-0.008549252
Hess,2016,Dividend/reinvestment balance for long-term growth,30,32,54,62,66,77,-0.084330484,171,0.01,-0.007096709
Hess,2016,GDP and Disposable Income,77,71,65,56,76,67,-0.084330484,194,0.02,-0.008051237
Hess,2016,Innovation,85,76,66,53,80,53,-0.084330484,182,0.03,-0.007553222
Hess,2016,Market Transition,72,60,58,48,70,54,-0.084330484,162,0.04,-0.006723198
Hess,2016,Professional Skills Development,32,28,60,58,70,55,-0.084330484,141,0.05,-0.005851672
Hess,2016,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,54,100,66,100,78,-0.084330484,198,0.06,-0.008217242
Hess,2016,Regulated Carbon Price,70,140,74,124,83,109,-0.084330484,373,0.07,-0.015479956
Hess,2016,Wages and Benefits,41,52,77,78,87,94,-0.084330484,224,0.08,-0.009296274
Hess,2016,Well-being and health,29,46,50,71,52,64,-0.084330484,181,0.09,-0.007511721
Hess,2019,Associated Energy Costs,93,74,66,53,44,37,-0.447119376,164,0,-0.04580111
Hess,2019,Dividend/reinvestment balance for long-term growth,37,37,72,62,63,49,-0.447119376,148,0.01,-0.041332709
Hess,2019,GDP and Disposable Income,78,72,62,56,47,39,-0.447119376,167,0.02,-0.046638936
Hess,2019,Innovation,85,63,62,46,42,30,-0.447119376,139,0.03,-0.038819234
Hess,2019,Market Transition,68,57,54,45,40,34,-0.447119376,136,0.04,-0.037981409
Hess,2019,Professional Skills Development,35,26,59,49,44,32,-0.447119376,107,0.05,-0.029882432
Hess,2019,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,55,89,71,57,39,-0.447119376,165,0.06,-0.046080385
Hess,2019,Regulated Carbon Price,78,100,73,111,49,69,-0.447119376,280,0.07,-0.078197018
Hess,2019,Wages and Benefits,48,35,100,65,100,60,-0.447119376,160,0.08,-0.04468401
Hess,2019,Well-being and health,40,37,50,59,32,39,-0.447119376,135,0.09,-0.037702134
MARATHON OIL,2014,Associated Energy Costs,100,119,78,87,66,77,-0.264921171,283,0,-0.031264675
