company_name,year,sector_exposure_path_name,Sector_EI,Compnay_EI,Sector_EM,Company_EM,Sector_IM,Company_IM,CHG_PER_STOCK_PRICE,Combined_score,sector_exposure_id,Normalized_Stock_Price_Change,Exp_Pct_Chg
ANTERO RESOURCES Corp,2016,Market Transition,72,94,58,76,70,80,-19.464211,250,4,-2.1129191,0.533742331
ANTERO RESOURCES Corp,2016,Professional Skills Development,32,39,60,76,70,64,-19.464211,179,5,-1.5128501,0.516949153
ANTERO RESOURCES Corp,2016,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,129,100,125,100,100,-19.464211,354,6,-2.9918935,0.519313305
ANTERO RESOURCES Corp,2016,Regulated Carbon Price,70,76,74,88,83,93,-19.464211,257,7,-2.1720809,0.724832215
ANTERO RESOURCES Corp,2016,Wages and Benefits,41,62,77,107,87,100,-19.464211,269,8,-2.273501,1.022556391
ANTERO RESOURCES Corp,2016,Well-being and health,29,20,50,39,52,0,-19.464211,59,9,-0.4986489,-0.144927536
ANTERO RESOURCES Corp,2017,Associated Energy Costs,97,114,72,88,79,83,-52.1829522,285,0,-6.651226,-0.077669903
ANTERO RESOURCES Corp,2017,Dividend/reinvestment balance for long-term growth,31,20,58,30,74,0,-52.1829522,50,1,-1.1668818,0
ANTERO RESOURCES Corp,2017,GDP and Disposable Income,78,84,65,84,81,87,-52.1829522,255,2,-5.951097,-0.098939929
ANTERO RESOURCES Corp,2017,Innovation,87,121,66,95,76,81,-52.1829522,297,3,-6.9312776,0.013651877
ANTERO RESOURCES Corp,2017,Market Transition,74,85,58,71,74,80,-52.1829522,236,4,-5.5076819,-0.056
ANTERO RESOURCES Corp,2017,Professional Skills Development,33,34,62,68,70,71,-52.1829522,173,5,-4.0374109,-0.033519553
ANTERO RESOURCES Corp,2017,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,131,100,116,100,107,-52.1829522,354,6,-8.2615228,0
ANTERO RESOURCES Corp,2017,Regulated Carbon Price,79,82,80,93,92,90,-52.1829522,265,7,-6.1844733,0.031128405
ANTERO RESOURCES Corp,2017,Wages and Benefits,42,56,85,101,87,109,-52.1829522,266,8,-6.207811,-0.011152416
ANTERO RESOURCES Corp,2017,Well-being and health,25,21,40,34,51,0,-52.1829522,55,9,-1.2835699,-0.06779661
ANTERO RESOURCES Corp,2019,Associated Energy Costs,93,112,66,74,44,48,93.4027778,234,0,10.3535055,-0.178947368
ANTERO RESOURCES Corp,2019,Dividend/reinvestment balance for long-term growth,37,34,72,52,63,0,93.4027778,86,1,3.8051345,0.72
ANTERO RESOURCES Corp,2019,GDP and Disposable Income,78,111,62,94,47,56,93.4027778,261,2,11.5481407,0.023529412
ANTERO RESOURCES Corp,2019,Innovation,85,140,62,86,42,54,93.4027778,280,3,12.3888099,-0.057239057
ANTERO RESOURCES Corp,2019,Market Transition,68,116,54,84,40,53,93.4027778,253,4,11.1941747,0.072033898
ANTERO RESOURCES Corp,2019,Professional Skills Development,35,36,59,61,44,44,93.4027778,141,5,6.2386507,-0.184971098
ANTERO RESOURCES Corp,2019,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,109,89,94,57,68,93.4027778,271,6,11.9905982,-0.234463277
ANTERO RESOURCES Corp,2019,Regulated Carbon Price,78,106,73,90,49,52,93.4027778,248,7,10.9729459,-0.064150943
ANTERO RESOURCES Corp,2019,Wages and Benefits,48,63,100,99,100,61,93.4027778,223,8,9.8668022,-0.161654135
ANTERO RESOURCES Corp,2019,Well-being and health,40,40,50,50,32,24,93.4027778,114,9,5.0440155,1.072727273
ANTERO RESOURCES Corp,2020,Associated Energy Costs,94,114,75,83,70,75,211.1310592,272,0,25.5802441,0.162393162
ANTERO RESOURCES Corp,2020,Dividend/reinvestment balance for long-term growth,37,30,70,61,100,0,211.1310592,91,1,8.5580964,0.058139535
ANTERO RESOURCES Corp,2020,GDP and Disposable Income,79,98,67,82,73,77,211.1310592,257,2,24.1695689,-0.01532567
ANTERO RESOURCES Corp,2020,Innovation,88,135,72,76,76,71,211.1310592,282,3,26.5206943,0.007142857
ANTERO RESOURCES Corp,2020,Market Transition,70,104,60,70,68,71,211.1310592,245,4,23.0410287,-0.031620553
ANTERO RESOURCES Corp,2020,Professional Skills Development,34,29,68,55,73,62,211.1310592,146,5,13.7305722,0.035460993
ANTERO RESOURCES Corp,2020,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,106,100,102,94,105,211.1310592,313,6,29.4360898,0.15498155
ANTERO RESOURCES Corp,2020,Regulated Carbon Price,81,86,80,109,78,92,211.1310592,287,7,26.9909194,0.157258065
ANTERO RESOURCES Corp,2020,Wages and Benefits,43,38,76,67,83,99,211.1310592,204,8,19.1851831,-0.085201794
ANTERO RESOURCES Corp,2020,Well-being and health,37,41,55,58,55,49,211.1310592,148,9,13.9186623,0.298245614
Callon Petroleum Co,2013,Associated Energy Costs,100,104,79,67,72,74,126.2162162,245,0,17.5798596,
Callon Petroleum Co,2013,Dividend/reinvestment balance for long-term growth,36,15,75,38,78,0,126.2162162,53,1,3.80299,
Callon Petroleum Co,2013,GDP and Disposable Income,75,64,66,54,73,74,126.2162162,192,2,13.7768695,
Callon Petroleum Co,2013,Innovation,83,77,69,60,68,71,126.2162162,208,3,14.924942,
Callon Petroleum Co,2013,Market Transition,71,87,60,58,67,70,126.2162162,215,4,15.4272237,
Callon Petroleum Co,2013,Professional Skills Development,36,37,77,64,79,68,126.2162162,169,5,12.1265154,
Callon Petroleum Co,2013,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",91,119,100,93,100,80,126.2162162,292,6,20.9523224,
Callon Petroleum Co,2013,Regulated Carbon Price,70,52,79,58,80,77,126.2162162,187,7,13.4180969,
Callon Petroleum Co,2013,Wages and Benefits,42,32,94,63,80,65,126.2162162,160,8,11.4807246,
Callon Petroleum Co,2013,Well-being and health,28,6,50,32,56,0,126.2162162,38,9,2.7266721,
Callon Petroleum Co,2014,Associated Energy Costs,100,111,78,70,66,69,-10.7526882,250,0,-1.4959221,0.020408163
Callon Petroleum Co,2014,Dividend/reinvestment balance for long-term growth,32,18,68,42,77,0,-10.7526882,60,1,-0.3590213,0.132075472
Callon Petroleum Co,2014,GDP and Disposable Income,77,64,68,52,68,71,-10.7526882,187,2,-1.1189497,-0.026041667
Callon Petroleum Co,2014,Innovation,85,80,71,61,65,66,-10.7526882,207,3,-1.2386235,-0.004807692
Callon Petroleum Co,2014,Market Transition,74,93,62,57,61,63,-10.7526882,213,4,-1.2745256,-0.009302326
Callon Petroleum Co,2014,Professional Skills Development,38,37,84,72,79,62,-10.7526882,171,5,-1.0232107,0.01183432
Callon Petroleum Co,2014,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",93,134,100,98,96,81,-10.7526882,313,6,-1.8728945,0.071917808
Callon Petroleum Co,2014,Regulated Carbon Price,67,53,79,64,79,69,-10.7526882,186,7,-1.1129661,-0.005347594
Callon Petroleum Co,2014,Wages and Benefits,42,34,96,67,100,72,-10.7526882,173,8,-1.0351781,0.08125
Callon Petroleum Co,2014,Well-being and health,29,9,52,28,43,0,-10.7526882,37,9,-0.2213965,-0.026315789
Callon Petroleum Co,2016,Associated Energy Costs,97,108,74,70,77,77,48.700565,255,0,6.7419349,0.02
Callon Petroleum Co,2016,Dividend/reinvestment balance for long-term growth,30,20,54,38,66,0,48.700565,58,1,1.5334597,-0.033333333
Callon Petroleum Co,2016,GDP and Disposable Income,77,68,65,53,76,77,48.700565,198,2,5.2349142,0.058823529
Callon Petroleum Co,2016,Innovation,85,70,66,61,80,73,48.700565,204,3,5.3935479,-0.014492754
Callon Petroleum Co,2016,Market Transition,72,86,58,56,70,69,48.700565,211,4,5.5786206,-0.009389671
Callon Petroleum Co,2016,Professional Skills Development,32,36,60,64,70,74,48.700565,174,5,4.6003791,0.01754386
Callon Petroleum Co,2016,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,157,100,107,100,92,48.700565,356,6,9.4122699,0.137380192
Callon Petroleum Co,2016,Regulated Carbon Price,70,56,74,55,83,78,48.700565,189,7,4.9969635,0.016129032
Callon Petroleum Co,2016,Wages and Benefits,41,29,77,56,87,79,48.700565,164,8,4.3359895,-0.052023121
Callon Petroleum Co,2016,Well-being and health,29,10,50,23,52,0,48.700565,33,9,0.8724857,-0.108108108
Callon Petroleum Co,2017,Associated Energy Costs,97,108,72,68,79,72,0.6079027,248,0,0.0762955,-0.02745098
Callon Petroleum Co,2017,Dividend/reinvestment balance for long-term growth,31,32,58,75,74,0,0.6079027,107,1,0.0329178,0.844827586
Callon Petroleum Co,2017,GDP and Disposable Income,78,66,65,57,81,65,0.6079027,188,2,0.0578369,-0.050505051
Callon Petroleum Co,2017,Innovation,87,65,66,61,76,65,0.6079027,191,3,0.0587598,-0.06372549
Callon Petroleum Co,2017,Market Transition,74,78,58,56,74,61,0.6079027,195,4,0.0599904,-0.075829384
Callon Petroleum Co,2017,Professional Skills Development,33,37,62,64,70,72,0.6079027,173,5,0.0532223,-0.005747126
Callon Petroleum Co,2017,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,143,100,105,100,98,0.6079027,346,6,0.1064445,-0.028089888
Callon Petroleum Co,2017,Regulated Carbon Price,79,68,80,77,92,78,0.6079027,223,7,0.0686044,0.17989418
Callon Petroleum Co,2017,Wages and Benefits,42,39,85,115,87,109,0.6079027,263,8,0.0809101,0.603658537
Callon Petroleum Co,2017,Well-being and health,25,9,40,33,51,0,0.6079027,42,9,0.012921,0.272727273
Callon Petroleum Co,2019,Associated Energy Costs,93,150,66,58,44,21,-92.7417219,229,0,-13.6665729,-0.076612903
Callon Petroleum Co,2019,Dividend/reinvestment balance for long-term growth,37,28,72,49,63,0,-92.7417219,77,1,-4.5953105,-0.280373832
Callon Petroleum Co,2019,GDP and Disposable Income,78,115,62,53,47,0,-92.7417219,168,2,-10.0261321,-0.106382979
Callon Petroleum Co,2019,Innovation,85,113,62,53,42,20,-92.7417219,186,3,-11.1003605,-0.02617801
Callon Petroleum Co,2019,Market Transition,68,104,54,46,40,16,-92.7417219,166,4,-9.9067734,-0.148717949
Callon Petroleum Co,2019,Professional Skills Development,35,43,59,45,44,18,-92.7417219,106,5,-6.3260119,-0.387283237
Callon Petroleum Co,2019,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,160,89,96,57,18,-92.7417219,274,6,-16.352144,-0.208092486
Callon Petroleum Co,2019,Regulated Carbon Price,78,77,73,71,49,0,-92.7417219,148,7,-8.8325449,-0.33632287
Callon Petroleum Co,2019,Wages and Benefits,48,38,100,58,100,20,-92.7417219,116,8,-6.9228055,-0.558935361
Callon Petroleum Co,2019,Well-being and health,40,26,50,38,32,20,-92.7417219,84,9,-5.013066,1
Callon Petroleum Co,2020,Associated Energy Costs,94,143,75,73,70,65,604.379562,281,0,82.282295,0.227074236
Callon Petroleum Co,2020,Dividend/reinvestment balance for long-term growth,37,32,70,61,100,0,604.379562,93,1,27.2322186,0.207792208
Callon Petroleum Co,2020,GDP and Disposable Income,79,115,67,67,73,67,604.379562,249,2,72.9120693,0.482142857
Callon Petroleum Co,2020,Innovation,88,115,72,68,76,63,604.379562,246,3,72.0336106,0.322580645
Callon Petroleum Co,2020,Market Transition,70,91,60,54,68,64,604.379562,209,4,61.199287,0.259036145
Callon Petroleum Co,2020,Professional Skills Development,34,46,68,57,73,52,604.379562,155,5,45.3870311,0.462264151
Callon Petroleum Co,2020,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,150,100,109,94,93,604.379562,352,6,103.0724834,0.284671533
Callon Petroleum Co,2020,Regulated Carbon Price,81,67,80,67,78,76,604.379562,210,7,61.4921066,0.418918919
Callon Petroleum Co,2020,Wages and Benefits,43,32,76,63,83,87,604.379562,182,8,53.2931591,0.568965517
Callon Petroleum Co,2020,Well-being and health,37,19,55,39,55,29,604.379562,87,9,25.4753013,0.035714286
ConocoPhillips,2013,Associated Energy Costs,100,105,79,73,72,63,17.0549085,241,0,2.2448023,
ConocoPhillips,2013,Dividend/reinvestment balance for long-term growth,36,46,75,90,78,0,17.0549085,136,1,1.2667764,
ConocoPhillips,2013,GDP and Disposable Income,75,77,66,54,73,61,17.0549085,192,2,1.7883902,
ConocoPhillips,2013,Innovation,83,73,69,57,68,56,17.0549085,186,3,1.732503,
ConocoPhillips,2013,Market Transition,71,57,60,48,67,55,17.0549085,160,4,1.4903252,
ConocoPhillips,2013,Professional Skills Development,36,58,77,102,79,37,17.0549085,197,5,1.8349628,
ConocoPhillips,2013,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",91,53,100,66,100,86,17.0549085,205,6,1.9094791,
ConocoPhillips,2013,Regulated Carbon Price,70,78,79,65,80,56,17.0549085,199,7,1.8535919,
ConocoPhillips,2013,Wages and Benefits,42,48,94,71,80,94,17.0549085,213,8,1.9839954,
ConocoPhillips,2013,Well-being and health,28,33,50,69,56,0,17.0549085,102,9,0.9500823,
ConocoPhillips,2014,Associated Energy Costs,100,90,78,69,66,58,-11.4996446,217,0,-1.2384233,-0.099585062
ConocoPhillips,2014,Dividend/reinvestment balance for long-term growth,32,43,68,102,77,112,-11.4996446,257,1,-1.4667041,0.889705882
ConocoPhillips,2014,GDP and Disposable Income,77,80,68,56,68,58,-11.4996446,194,2,-1.1071618,0.010416667
ConocoPhillips,2014,Innovation,85,74,71,55,65,51,-11.4996446,180,3,-1.0272635,-0.032258065
ConocoPhillips,2014,Market Transition,74,57,62,45,61,51,-11.4996446,153,4,-0.873174,-0.04375
ConocoPhillips,2014,Professional Skills Development,38,67,84,128,79,75,-11.4996446,270,5,-1.5408953,0.370558376
ConocoPhillips,2014,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",93,52,100,66,96,78,-11.4996446,196,6,-1.1185759,-0.043902439
ConocoPhillips,2014,Regulated Carbon Price,67,82,79,68,79,55,-11.4996446,205,7,-1.169939,0.030150754
ConocoPhillips,2014,Wages and Benefits,42,51,96,71,100,78,-11.4996446,200,8,-1.1414039,-0.061032864
ConocoPhillips,2014,Well-being and health,29,29,52,73,43,41,-11.4996446,143,9,-0.8161038,0.401960784
ConocoPhillips,2016,Associated Energy Costs,97,119,74,63,77,66,23.8390862,248,0,3.1717239,0.142857143
ConocoPhillips,2016,Dividend/reinvestment balance for long-term growth,30,32,54,46,66,0,23.8390862,78,1,0.9975583,-0.696498054
ConocoPhillips,2016,GDP and Disposable Income,77,103,65,60,76,72,23.8390862,235,2,3.0054642,0.211340206
ConocoPhillips,2016,Innovation,85,115,66,54,80,61,23.8390862,230,3,2.9415181,0.277777778
ConocoPhillips,2016,Market Transition,72,84,58,42,70,62,23.8390862,188,4,2.4043714,0.22875817
ConocoPhillips,2016,Professional Skills Development,32,30,60,43,70,46,23.8390862,119,5,1.5219159,-0.559259259
ConocoPhillips,2016,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,61,100,56,100,84,23.8390862,201,6,2.5706311,0.025510204
ConocoPhillips,2016,Regulated Carbon Price,70,97,74,81,83,81,23.8390862,259,7,3.3124052,0.263414634
ConocoPhillips,2016,Wages and Benefits,41,46,77,63,87,95,23.8390862,204,8,2.6089987,0.02
ConocoPhillips,2016,Well-being and health,29,19,50,42,52,41,23.8390862,102,9,1.3044994,-0.286713287
ConocoPhillips,2017,Associated Energy Costs,97,109,72,61,79,62,18.8891117,232,0,2.1988329,-0.064516129
ConocoPhillips,2017,Dividend/reinvestment balance for long-term growth,31,42,58,75,74,103,18.8891117,220,1,2.0851001,1.820512821
ConocoPhillips,2017,GDP and Disposable Income,78,102,65,60,81,68,18.8891117,230,2,2.1798774,-0.021276596
ConocoPhillips,2017,Innovation,87,98,66,57,76,63,18.8891117,218,3,2.0661447,-0.052173913
ConocoPhillips,2017,Market Transition,74,88,58,50,74,65,18.8891117,203,4,1.9239788,0.079787234
ConocoPhillips,2017,Professional Skills Development,33,34,62,46,70,51,18.8891117,131,5,1.2415824,0.100840336
ConocoPhillips,2017,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,66,100,58,100,87,18.8891117,211,6,1.9998006,0.049751244
ConocoPhillips,2017,Regulated Carbon Price,79,130,80,85,92,86,18.8891117,301,7,2.8527961,0.162162162
ConocoPhillips,2017,Wages and Benefits,42,50,85,69,87,90,18.8891117,209,8,1.9808451,0.024509804
ConocoPhillips,2017,Well-being and health,25,12,40,26,51,0,18.8891117,38,9,0.3601537,-0.62745098
ConocoPhillips,2019,Associated Energy Costs,93,89,66,72,44,41,-53.8507642,202,0,-5.2805118,-0.129310345
ConocoPhillips,2019,Dividend/reinvestment balance for long-term growth,37,85,72,173,63,90,-53.8507642,348,1,-9.0971194,0.581818182
ConocoPhillips,2019,GDP and Disposable Income,78,72,62,63,47,44,-53.8507642,179,2,-4.6792654,-0.22173913
ConocoPhillips,2019,Innovation,85,95,62,79,42,39,-53.8507642,213,3,-5.5680645,-0.02293578
ConocoPhillips,2019,Market Transition,68,64,54,61,40,40,-53.8507642,165,4,-4.3132894,-0.187192118
ConocoPhillips,2019,Professional Skills Development,35,58,59,88,44,29,-53.8507642,175,5,-4.5747008,0.335877863
ConocoPhillips,2019,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,77,89,83,57,57,-53.8507642,217,6,-5.672629,0.028436019
ConocoPhillips,2019,Regulated Carbon Price,78,80,73,73,49,43,-53.8507642,196,7,-5.1236649,-0.348837209
ConocoPhillips,2019,Wages and Benefits,48,61,100,161,100,56,-53.8507642,278,8,-7.2672391,0.330143541
ConocoPhillips,2019,Well-being and health,40,35,50,52,32,0,-53.8507642,87,9,-2.2742798,1.289473684
ConocoPhillips,2020,Associated Energy Costs,94,108,75,84,70,48,71.9805195,240,0,8.9416794,0.188118812
ConocoPhillips,2020,Dividend/reinvestment balance for long-term growth,37,50,70,108,100,221,71.9805195,379,1,14.1204021,0.08908046
ConocoPhillips,2020,GDP and Disposable Income,79,96,67,68,73,41,71.9805195,205,2,7.6376845,0.145251397
ConocoPhillips,2020,Innovation,88,109,72,85,76,48,71.9805195,242,3,9.0161934,0.136150235
ConocoPhillips,2020,Market Transition,70,79,60,64,68,43,71.9805195,186,4,6.9298016,0.127272727
ConocoPhillips,2020,Professional Skills Development,34,46,68,80,73,59,71.9805195,185,5,6.8925446,0.057142857
ConocoPhillips,2020,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,65,100,74,94,79,71.9805195,218,6,8.1220255,0.004608295
ConocoPhillips,2020,Regulated Carbon Price,81,60,80,55,78,0,71.9805195,115,7,4.2845547,-0.413265306
ConocoPhillips,2020,Wages and Benefits,43,36,76,71,83,0,71.9805195,107,8,3.9864988,-0.615107914
ConocoPhillips,2020,Well-being and health,37,15,55,40,55,0,71.9805195,55,9,2.0491349,-0.367816092
Crescent Energy Co,2017,Associated Energy Costs,97,142,72,62,79,77,-37.1057514,281,0,-5.1566351,
Crescent Energy Co,2017,Dividend/reinvestment balance for long-term growth,31,28,58,48,74,80,-37.1057514,156,1,-2.8627583,
Crescent Energy Co,2017,GDP and Disposable Income,78,120,65,54,81,73,-37.1057514,247,2,-4.5327006,
Crescent Energy Co,2017,Innovation,87,114,66,55,76,79,-37.1057514,248,3,-4.5510516,
Crescent Energy Co,2017,Market Transition,74,95,58,53,74,79,-37.1057514,227,4,-4.1656803,
Crescent Energy Co,2017,Professional Skills Development,33,29,62,87,70,79,-37.1057514,195,5,-3.5784478,
Crescent Energy Co,2017,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,103,100,93,100,85,-37.1057514,281,6,-5.1566351,
Crescent Energy Co,2017,Regulated Carbon Price,79,32,80,52,92,71,-37.1057514,155,7,-2.8444073,
Crescent Energy Co,2017,Wages and Benefits,42,28,85,46,87,102,-37.1057514,176,8,-3.2297786,
Crescent Energy Co,2017,Well-being and health,25,14,40,42,51,0,-37.1057514,56,9,-1.0276568,
Crescent Energy Co,2019,Associated Energy Costs,93,87,66,42,44,42,-76.1609907,171,0,-8.9202256,-0.391459075
Crescent Energy Co,2019,Dividend/reinvestment balance for long-term growth,37,25,72,44,63,27,-76.1609907,96,1,-5.007846,-0.384615385
Crescent Energy Co,2019,GDP and Disposable Income,78,121,62,47,47,44,-76.1609907,212,2,-11.0589932,-0.141700405
Crescent Energy Co,2019,Innovation,85,96,62,48,42,43,-76.1609907,187,3,-9.7548666,-0.245967742
Crescent Energy Co,2019,Market Transition,68,69,54,46,40,38,-76.1609907,153,4,-7.9812545,-0.325991189
Crescent Energy Co,2019,Professional Skills Development,35,23,59,48,44,36,-76.1609907,107,5,-5.5816616,-0.451282051
Crescent Energy Co,2019,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,97,89,71,57,46,-76.1609907,214,6,-11.1633233,-0.238434164
Crescent Energy Co,2019,Regulated Carbon Price,78,26,73,47,49,40,-76.1609907,113,7,-5.894652,-0.270967742
Crescent Energy Co,2019,Wages and Benefits,48,21,100,47,100,52,-76.1609907,120,8,-6.2598075,-0.318181818
Crescent Energy Co,2019,Well-being and health,40,18,50,46,32,23,-76.1609907,87,9,-4.5383604,0.553571429
Crescent Energy Co,2020,Associated Energy Costs,94,86,75,58,70,65,440.2597403,209,0,49.8992873,0.222222222
Crescent Energy Co,2020,Dividend/reinvestment balance for long-term growth,37,26,70,53,100,55,440.2597403,134,1,31.9928445,0.395833333
Crescent Energy Co,2020,GDP and Disposable Income,79,111,67,52,73,71,440.2597403,234,2,55.8681015,0.103773585
Crescent Energy Co,2020,Innovation,88,97,72,53,76,69,440.2597403,219,3,52.286813,0.171122995
Crescent Energy Co,2020,Market Transition,70,73,60,55,68,68,440.2597403,196,4,46.7955038,0.281045752
Crescent Energy Co,2020,Professional Skills Development,34,28,68,66,73,63,440.2597403,157,5,37.4841536,0.46728972
Crescent Energy Co,2020,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,90,100,78,94,80,440.2597403,248,6,59.2106375,0.158878505
Crescent Energy Co,2020,Regulated Carbon Price,81,27,80,55,78,75,440.2597403,157,7,37.4841536,0.389380531
Crescent Energy Co,2020,Wages and Benefits,43,23,76,51,83,95,440.2597403,169,8,40.3491844,0.408333333
Crescent Energy Co,2020,Well-being and health,37,22,55,49,55,50,440.2597403,121,9,28.8890611,0.390804598
Crescent Energy Co,2022,Associated Energy Costs,88,78,72,56,81,71,90.7330567,205,0,10.6836741,-0.019138756
Crescent Energy Co,2022,Dividend/reinvestment balance for long-term growth,43,21,82,52,100,0,90.7330567,73,1,3.8044303,-0.455223881
Crescent Energy Co,2022,GDP and Disposable Income,75,86,63,46,75,73,90.7330567,205,2,10.6836741,-0.123931624
Crescent Energy Co,2022,Innovation,90,83,74,54,78,73,90.7330567,210,3,10.9442515,-0.04109589
Crescent Energy Co,2022,Market Transition,66,65,62,57,83,71,90.7330567,193,4,10.0582883,-0.015306122
Crescent Energy Co,2022,Professional Skills Development,40,28,70,65,82,59,90.7330567,152,5,7.9215535,-0.031847134
Crescent Energy Co,2022,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,79,100,74,98,82,90.7330567,235,6,12.2471386,-0.052419355
Crescent Energy Co,2022,Regulated Carbon Price,77,29,72,53,74,92,90.7330567,174,7,9.0680941,0.108280255
Crescent Energy Co,2022,Wages and Benefits,45,22,80,48,84,110,90.7330567,180,8,9.380787,0.065088757
Crescent Energy Co,2022,Well-being and health,46,27,71,46,62,41,90.7330567,114,9,5.9411651,-0.05785124
DEVON ENERGY CORP,2017,Associated Energy Costs,97,99,72,57,79,54,-23.801534,210,0,-2.8808773,
DEVON ENERGY CORP,2017,Dividend/reinvestment balance for long-term growth,31,28,58,50,74,0,-23.801534,78,1,-1.0700401,
DEVON ENERGY CORP,2017,GDP and Disposable Income,78,74,65,48,81,55,-23.801534,177,2,-2.428168,
DEVON ENERGY CORP,2017,Innovation,87,81,66,53,76,54,-23.801534,188,3,-2.5790711,
DEVON ENERGY CORP,2017,Market Transition,74,75,58,50,74,56,-23.801534,181,4,-2.4830419,
DEVON ENERGY CORP,2017,Professional Skills Development,33,43,62,91,70,73,-23.801534,207,5,-2.8397219,
DEVON ENERGY CORP,2017,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,82,100,82,100,96,-23.801534,260,6,-3.5668005,
DEVON ENERGY CORP,2017,Regulated Carbon Price,79,81,80,64,92,70,-23.801534,215,7,-2.9494696,
DEVON ENERGY CORP,2017,Wages and Benefits,42,40,85,50,87,91,-23.801534,181,8,-2.4830419,
