company_name,year,sector_exposure_path_name,Sector_EI,Compnay_EI,Sector_EM,Company_EM,Sector_IM,Company_IM,CHG_PER_STOCK_PRICE,Combined_score
Callon Petroleum Co,2017,Innovation,87,65,66,61,76,65,0.006079027,191
Callon Petroleum Co,2017,Market Transition,74,78,58,56,74,61,0.006079027,195
Callon Petroleum Co,2017,Professional Skills Development,33,37,62,64,70,72,0.006079027,173
Callon Petroleum Co,2017,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,143,100,105,100,98,0.006079027,346
Callon Petroleum Co,2017,Regulated Carbon Price,79,68,80,77,92,78,0.006079027,223
Callon Petroleum Co,2017,Wages and Benefits,42,39,85,115,87,109,0.006079027,263
Callon Petroleum Co,2017,Well-being and health,25,9,40,33,51,0,0.006079027,42
Callon Petroleum Co,2018,Associated Energy Costs,88,109,71,69,71,59,-0.429758308,237
Callon Petroleum Co,2018,GDP and Disposable Income,72,82,67,58,76,56,-0.429758308,196
Callon Petroleum Co,2018,Innovation,86,90,73,70,79,55,-0.429758308,215
Callon Petroleum Co,2018,Market Transition,66,89,58,59,62,54,-0.429758308,202
Callon Petroleum Co,2018,Professional Skills Development,33,36,64,62,84,60,-0.429758308,158
Callon Petroleum Co,2018,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,140,100,110,100,95,-0.429758308,345
Callon Petroleum Co,2018,Regulated Carbon Price,77,65,83,74,84,73,-0.429758308,212
Callon Petroleum Co,2018,Wages and Benefits,42,41,90,114,98,98,-0.429758308,253
Callon Petroleum Co,2018,Well-being and health,33,7,48,24,47,0,-0.429758308,31
Callon Petroleum Co,2019,Associated Energy Costs,93,150,66,58,44,21,-0.927417219,229
Callon Petroleum Co,2019,Dividend/reinvestment balance for long-term growth,37,28,72,49,63,0,-0.927417219,77
Callon Petroleum Co,2019,GDP and Disposable Income,78,115,62,53,47,0,-0.927417219,168
Callon Petroleum Co,2019,Innovation,85,113,62,53,42,20,-0.927417219,186
Callon Petroleum Co,2019,Market Transition,68,104,54,46,40,16,-0.927417219,166
Callon Petroleum Co,2019,Professional Skills Development,35,43,59,45,44,18,-0.927417219,106
Callon Petroleum Co,2019,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,160,89,96,57,18,-0.927417219,274
Callon Petroleum Co,2019,Regulated Carbon Price,78,77,73,71,49,0,-0.927417219,148
Callon Petroleum Co,2019,Wages and Benefits,48,38,100,58,100,20,-0.927417219,116
Callon Petroleum Co,2019,Well-being and health,40,26,50,38,32,20,-0.927417219,84
Callon Petroleum Co,2020,Associated Energy Costs,94,143,75,73,70,65,6.04379562,281
Callon Petroleum Co,2020,Dividend/reinvestment balance for long-term growth,37,32,70,61,100,0,6.04379562,93
Callon Petroleum Co,2020,GDP and Disposable Income,79,115,67,67,73,67,6.04379562,249
Callon Petroleum Co,2020,Innovation,88,115,72,68,76,63,6.04379562,246
Callon Petroleum Co,2020,Market Transition,70,91,60,54,68,64,6.04379562,209
Callon Petroleum Co,2020,Professional Skills Development,34,46,68,57,73,52,6.04379562,155
Callon Petroleum Co,2020,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,150,100,109,94,93,6.04379562,352
Callon Petroleum Co,2020,Regulated Carbon Price,81,67,80,67,78,76,6.04379562,210
Callon Petroleum Co,2020,Wages and Benefits,43,32,76,63,83,87,6.04379562,182
Callon Petroleum Co,2020,Well-being and health,37,19,55,39,55,29,6.04379562,87
Callon Petroleum Co,2021,Associated Energy Costs,92,137,75,82,77,65,0.530569948,284
Callon Petroleum Co,2021,Executive compensation,33,15,56,34,68,49,0.530569948,98
Callon Petroleum Co,2021,GDP and Disposable Income,76,83,64,54,77,60,0.530569948,197
Callon Petroleum Co,2021,Innovation,89,100,72,79,78,67,0.530569948,246
Callon Petroleum Co,2021,Market Transition,67,78,60,50,74,57,0.530569948,185
Callon Petroleum Co,2021,Professional Skills Development,38,46,71,54,83,54,0.530569948,154
Callon Petroleum Co,2021,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,117,100,92,100,85,0.530569948,294
Callon Petroleum Co,2021,Regulated Carbon Price,82,70,79,73,79,70,0.530569948,213
Callon Petroleum Co,2021,Wages and Benefits,41,29,73,59,79,68,0.530569948,156
Callon Petroleum Co,2021,Well-being and health,37,20,61,39,64,44,0.530569948,103
"CIVITAS RESOURCES, INC.",2021,Associated Energy Costs,92,127,75,71,77,66,0.671144696,264
"CIVITAS RESOURCES, INC.",2021,Executive compensation,33,14,56,31,68,43,0.671144696,88
"CIVITAS RESOURCES, INC.",2021,GDP and Disposable Income,76,121,64,66,77,66,0.671144696,253
"CIVITAS RESOURCES, INC.",2021,Innovation,89,140,72,69,78,70,0.671144696,279
"CIVITAS RESOURCES, INC.",2021,Market Transition,67,104,60,59,74,69,0.671144696,232
"CIVITAS RESOURCES, INC.",2021,Professional Skills Development,38,73,71,88,83,77,0.671144696,238
"CIVITAS RESOURCES, INC.",2021,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,186,100,148,100,90,0.671144696,424
"CIVITAS RESOURCES, INC.",2021,Regulated Carbon Price,82,62,79,76,79,75,0.671144696,213
"CIVITAS RESOURCES, INC.",2021,Wages and Benefits,41,34,73,63,79,77,0.671144696,174
"CIVITAS RESOURCES, INC.",2021,Well-being and health,37,43,61,62,64,48,0.671144696,153
ConocoPhillips,2013,Associated Energy Costs,100,105,79,73,72,63,0.170549085,241
ConocoPhillips,2013,Dividend/reinvestment balance for long-term growth,36,46,75,90,78,0,0.170549085,136
ConocoPhillips,2013,GDP and Disposable Income,75,77,66,54,73,61,0.170549085,192
ConocoPhillips,2013,Innovation,83,73,69,57,68,56,0.170549085,186
ConocoPhillips,2013,Market Transition,71,57,60,48,67,55,0.170549085,160
ConocoPhillips,2013,Professional Skills Development,36,58,77,102,79,37,0.170549085,197
ConocoPhillips,2013,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",91,53,100,66,100,86,0.170549085,205
ConocoPhillips,2013,Regulated Carbon Price,70,78,79,65,80,56,0.170549085,199
ConocoPhillips,2013,Wages and Benefits,42,48,94,71,80,94,0.170549085,213
ConocoPhillips,2013,Well-being and health,28,33,50,69,56,0,0.170549085,102
ConocoPhillips,2014,Associated Energy Costs,100,90,78,69,66,58,-0.114996446,217
ConocoPhillips,2014,Dividend/reinvestment balance for long-term growth,32,43,68,102,77,112,-0.114996446,257
ConocoPhillips,2014,GDP and Disposable Income,77,80,68,56,68,58,-0.114996446,194
ConocoPhillips,2014,Innovation,85,74,71,55,65,51,-0.114996446,180
ConocoPhillips,2014,Market Transition,74,57,62,45,61,51,-0.114996446,153
ConocoPhillips,2014,Professional Skills Development,38,67,84,128,79,75,-0.114996446,270
ConocoPhillips,2014,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",93,52,100,66,96,78,-0.114996446,196
ConocoPhillips,2014,Regulated Carbon Price,67,82,79,68,79,55,-0.114996446,205
ConocoPhillips,2014,Wages and Benefits,42,51,96,71,100,78,-0.114996446,200
ConocoPhillips,2014,Well-being and health,29,29,52,73,43,41,-0.114996446,143
ConocoPhillips,2015,Associated Energy Costs,100,121,75,61,75,62,-0.353196274,244
ConocoPhillips,2015,Dividend/reinvestment balance for long-term growth,31,30,62,46,58,0,-0.353196274,76
ConocoPhillips,2015,GDP and Disposable Income,75,100,65,57,72,66,-0.353196274,223
ConocoPhillips,2015,Innovation,87,103,69,54,70,58,-0.353196274,215
ConocoPhillips,2015,Market Transition,73,82,60,41,65,58,-0.353196274,181
ConocoPhillips,2015,Professional Skills Development,33,26,66,36,87,36,-0.353196274,98
ConocoPhillips,2015,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",96,56,100,55,100,84,-0.353196274,195
ConocoPhillips,2015,Regulated Carbon Price,70,91,77,69,79,68,-0.353196274,228
ConocoPhillips,2015,Wages and Benefits,40,44,88,62,93,94,-0.353196274,200
ConocoPhillips,2015,Well-being and health,31,21,45,33,52,29,-0.353196274,83
ConocoPhillips,2016,Associated Energy Costs,97,119,74,63,77,66,0.238390862,248
ConocoPhillips,2016,Dividend/reinvestment balance for long-term growth,30,32,54,46,66,0,0.238390862,78
ConocoPhillips,2016,GDP and Disposable Income,77,103,65,60,76,72,0.238390862,235
ConocoPhillips,2016,Innovation,85,115,66,54,80,61,0.238390862,230
ConocoPhillips,2016,Market Transition,72,84,58,42,70,62,0.238390862,188
ConocoPhillips,2016,Professional Skills Development,32,30,60,43,70,46,0.238390862,119
ConocoPhillips,2016,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,61,100,56,100,84,0.238390862,201
ConocoPhillips,2016,Regulated Carbon Price,70,97,74,81,83,81,0.238390862,259
ConocoPhillips,2016,Wages and Benefits,41,46,77,63,87,95,0.238390862,204
ConocoPhillips,2016,Well-being and health,29,19,50,42,52,41,0.238390862,102
ConocoPhillips,2017,Associated Energy Costs,97,109,72,61,79,62,0.188891117,232
ConocoPhillips,2017,Dividend/reinvestment balance for long-term growth,31,42,58,75,74,103,0.188891117,220
ConocoPhillips,2017,GDP and Disposable Income,78,102,65,60,81,68,0.188891117,230
ConocoPhillips,2017,Innovation,87,98,66,57,76,63,0.188891117,218
ConocoPhillips,2017,Market Transition,74,88,58,50,74,65,0.188891117,203
ConocoPhillips,2017,Professional Skills Development,33,34,62,46,70,51,0.188891117,131
ConocoPhillips,2017,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,66,100,58,100,87,0.188891117,211
ConocoPhillips,2017,Regulated Carbon Price,79,130,80,85,92,86,0.188891117,301
ConocoPhillips,2017,Wages and Benefits,42,50,85,69,87,90,0.188891117,209
ConocoPhillips,2017,Well-being and health,25,12,40,26,51,0,0.188891117,38
ConocoPhillips,2018,Associated Energy Costs,88,84,71,73,71,63,0.125653567,220
ConocoPhillips,2018,GDP and Disposable Income,72,78,67,64,76,69,0.125653567,211
ConocoPhillips,2018,Innovation,86,94,73,85,79,59,0.125653567,238
ConocoPhillips,2018,Market Transition,66,61,58,60,62,57,0.125653567,178
ConocoPhillips,2018,Professional Skills Development,33,58,64,87,84,55,0.125653567,200
ConocoPhillips,2018,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,73,100,90,100,133,0.125653567,296
ConocoPhillips,2018,Regulated Carbon Price,77,80,83,70,84,69,0.125653567,219
ConocoPhillips,2018,Wages and Benefits,42,41,90,67,98,82,0.125653567,190
ConocoPhillips,2018,Well-being and health,33,46,48,68,47,62,0.125653567,176
ConocoPhillips,2019,Associated Energy Costs,93,89,66,72,44,41,-0.538507642,202
ConocoPhillips,2019,Dividend/reinvestment balance for long-term growth,37,85,72,173,63,90,-0.538507642,348
ConocoPhillips,2019,GDP and Disposable Income,78,72,62,63,47,44,-0.538507642,179
ConocoPhillips,2019,Innovation,85,95,62,79,42,39,-0.538507642,213
ConocoPhillips,2019,Market Transition,68,64,54,61,40,40,-0.538507642,165
ConocoPhillips,2019,Professional Skills Development,35,58,59,88,44,29,-0.538507642,175
ConocoPhillips,2019,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,77,89,83,57,57,-0.538507642,217
ConocoPhillips,2019,Regulated Carbon Price,78,80,73,73,49,43,-0.538507642,196
ConocoPhillips,2019,Wages and Benefits,48,61,100,161,100,56,-0.538507642,278
ConocoPhillips,2019,Well-being and health,40,35,50,52,32,0,-0.538507642,87
ConocoPhillips,2020,Associated Energy Costs,94,108,75,84,70,48,0.719805195,240
ConocoPhillips,2020,Dividend/reinvestment balance for long-term growth,37,50,70,108,100,221,0.719805195,379
ConocoPhillips,2020,GDP and Disposable Income,79,96,67,68,73,41,0.719805195,205
ConocoPhillips,2020,Innovation,88,109,72,85,76,48,0.719805195,242
ConocoPhillips,2020,Market Transition,70,79,60,64,68,43,0.719805195,186
ConocoPhillips,2020,Professional Skills Development,34,46,68,80,73,59,0.719805195,185
ConocoPhillips,2020,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,65,100,74,94,79,0.719805195,218
ConocoPhillips,2020,Regulated Carbon Price,81,60,80,55,78,0,0.719805195,115
ConocoPhillips,2020,Wages and Benefits,43,36,76,71,83,0,0.719805195,107
ConocoPhillips,2020,Well-being and health,37,15,55,40,55,0,0.719805195,55
ConocoPhillips,2021,Associated Energy Costs,92,97,75,86,77,62,0.887861053,245
ConocoPhillips,2021,GDP and Disposable Income,76,84,64,68,77,64,0.887861053,216
ConocoPhillips,2021,Innovation,89,97,72,85,78,60,0.887861053,242
ConocoPhillips,2021,Market Transition,67,73,60,70,74,59,0.887861053,202
ConocoPhillips,2021,Professional Skills Development,38,64,71,101,83,65,0.887861053,230
ConocoPhillips,2021,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,71,100,86,100,92,0.887861053,249
ConocoPhillips,2021,Regulated Carbon Price,82,55,79,55,79,65,0.887861053,175
ConocoPhillips,2021,Wages and Benefits,41,35,73,64,79,98,0.887861053,197
ConocoPhillips,2021,Well-being and health,37,23,61,54,64,0,0.887861053,77
Coterra Energy Inc.,2021,Associated Energy Costs,92,119,75,80,77,0,0.436102236,199
Coterra Energy Inc.,2021,GDP and Disposable Income,76,115,64,72,77,0,0.436102236,187
Coterra Energy Inc.,2021,Innovation,89,151,72,87,78,0,0.436102236,238
Coterra Energy Inc.,2021,Market Transition,67,85,60,63,74,0,0.436102236,148
Coterra Energy Inc.,2021,Professional Skills Development,38,42,71,83,83,0,0.436102236,125
Coterra Energy Inc.,2021,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,144,100,119,100,0,0.436102236,263
Coterra Energy Inc.,2021,Regulated Carbon Price,82,66,79,65,79,0,0.436102236,131
Coterra Energy Inc.,2021,Wages and Benefits,41,34,73,97,79,0,0.436102236,131
Coterra Energy Inc.,2021,Well-being and health,37,26,61,58,64,0,0.436102236,84
Crescent Energy Co,2017,Associated Energy Costs,97,142,72,62,79,77,-0.371057514,281
Crescent Energy Co,2017,Dividend/reinvestment balance for long-term growth,31,28,58,48,74,80,-0.371057514,156
Crescent Energy Co,2017,GDP and Disposable Income,78,120,65,54,81,73,-0.371057514,247
Crescent Energy Co,2017,Innovation,87,114,66,55,76,79,-0.371057514,248
Crescent Energy Co,2017,Market Transition,74,95,58,53,74,79,-0.371057514,227
Crescent Energy Co,2017,Professional Skills Development,33,29,62,87,70,79,-0.371057514,195
Crescent Energy Co,2017,"Provisioning services (Raw Materials, Nutrients, Food, Energy)",100,103,100,93,100,85,-0.371057514,281
Crescent Energy Co,2017,Regulated Carbon Price,79,32,80,52,92,71,-0.371057514,155
Crescent Energy Co,2017,Wages and Benefits,42,28,85,46,87,102,-0.371057514,176
Crescent Energy Co,2017,Well-being and health,25,14,40,42,51,0,-0.371057514,56
Crescent Energy Co,2018,Associated Energy Costs,88,126,71,63,71,0,-0.52359882,189
Crescent Energy Co,2018,GDP and Disposable Income,72,165,67,66,76,0,-0.52359882,231
